
####################################################################
# RUSAL NETWORK #
####################################################################
Line 1 on cod-cat3750.kraz.rusal.com
####################################################################
Authorized Access Only!
Attention! You.re connecting to private computer system.
All access and actions are logged!
If you.re not an authorized person, please disconnect immediately!
####################################################################

cod-cat3750#
terminal length 0
cod-cat3750#
show mac address-table
          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
   1    588d.0927.03ab    DYNAMIC     Po16
   1    588d.0927.03ac    DYNAMIC     Po16
   1    588d.0927.05ab    DYNAMIC     Po16
   1    588d.0927.05ac    DYNAMIC     Po16
  18    0008.e3ff.fd90    DYNAMIC     Po16
  18    000e.5e00.305c    DYNAMIC     Po4
  18    000e.5e00.305d    STATIC      Gi4/0/14 
  18    000e.5e00.305e    STATIC      Gi4/0/13 
  18    000e.5e00.3064    DYNAMIC     Po4
  18    0015.fafd.4b41    DYNAMIC     Po4
  19    0000.5e00.0102    STATIC      Gi3/0/10 
  19    0008.e3ff.fd90    DYNAMIC     Po16
  19    0011.8569.b1dd    STATIC      Gi2/0/2 
  19    0014.c23d.27a4    STATIC      Gi1/0/46 
  19    001e.0b62.f408    STATIC      Gi3/0/10 
  19    0050.56ba.001f    DYNAMIC     Po16
  19    0050.56ba.0038    DYNAMIC     Po16
  19    0050.56ba.0040    DYNAMIC     Po16
  19    0050.56ba.0054    DYNAMIC     Po16
  19    0050.56ba.0063    DYNAMIC     Po16
  19    0050.56ba.006a    DYNAMIC     Po16
  19    0050.56ba.006b    DYNAMIC     Po16
  19    0050.56ba.007e    DYNAMIC     Po16
  19    0050.56ba.0094    DYNAMIC     Po16
  19    0050.56ba.0170    DYNAMIC     Po16
  19    0050.56ba.0171    DYNAMIC     Po16
  19    0050.56ba.0172    DYNAMIC     Po16
  19    0050.56ba.0173    DYNAMIC     Po16
  19    0050.56ba.0175    DYNAMIC     Po16
  19    0050.56ba.0178    DYNAMIC     Po16
  19    0050.56ba.0187    DYNAMIC     Po16
  19    0050.56ba.0188    DYNAMIC     Po16
  19    0050.56ba.01c5    DYNAMIC     Po16
  19    0050.56ba.01c7    DYNAMIC     Po16
  19    0050.56ba.02c8    DYNAMIC     Po16
  19    0050.56ba.106c    DYNAMIC     Po16
  19    0050.56ba.171e    DYNAMIC     Po16
  19    0050.56ba.179a    DYNAMIC     Po16
  19    0050.56ba.181b    DYNAMIC     Po16
  19    0050.56ba.2135    DYNAMIC     Po16
  19    0050.56ba.2156    DYNAMIC     Po16
  19    0050.56ba.29b5    DYNAMIC     Po16
  19    0050.56ba.332e    DYNAMIC     Po16
  19    0050.56ba.3390    DYNAMIC     Po16
  19    0050.56ba.3572    DYNAMIC     Po16
  19    0050.56ba.3de9    DYNAMIC     Po16
  19    0050.56ba.3e90    DYNAMIC     Po16
  19    0050.56ba.42e2    DYNAMIC     Po16
  19    0050.56ba.4933    DYNAMIC     Po16
  19    0050.56ba.4db8    DYNAMIC     Po16
  19    0050.56ba.5375    DYNAMIC     Po16
  19    0050.56ba.5c62    DYNAMIC     Po16
  19    0050.56ba.5efd    DYNAMIC     Po16
  19    0050.56ba.673c    DYNAMIC     Po16
  19    0050.56ba.6afc    DYNAMIC     Po16
  19    0050.56ba.706b    DYNAMIC     Po16
  19    0050.56ba.7440    DYNAMIC     Po16
  19    0050.56ba.7bf6    DYNAMIC     Po16
  37    0008.e3ff.fd90    DYNAMIC     Po16
  37    000b.cdd1.b66c    STATIC      Gi5/0/28 
  37    0011.25c3.4340    STATIC      Gi5/0/47 
  37    0011.25c3.a8c6    STATIC      Fa7/0/33 
  37    0011.855c.1d02    STATIC      Gi3/0/35 
  37    0012.79d8.27e8    STATIC      Fa7/0/42 
  37    0014.c263.3e7f    DYNAMIC     Gi2/0/5
  37    0015.17e8.6e65    STATIC      Gi4/0/28 
  37    0015.6054.e0e8    DYNAMIC     Gi3/0/33
  37    0019.aae1.9ec0    DYNAMIC     Po16
  37    001b.2137.a035    STATIC      Gi4/0/27 
  37    001b.2157.f529    STATIC      Gi4/0/29 
  37    001b.4d00.2976    STATIC      Fa7/0/30 
  37    001e.0b62.55d6    STATIC      Gi2/0/11 
  37    0020.be7f.a41b    STATIC      Gi4/0/22 
  37    0020.be7f.acae    STATIC      Gi4/0/21 
  37    0021.5e43.5d60    STATIC      Gi4/0/37 
  37    0030.8c1a.5959    STATIC      Gi5/0/11 
  37    0040.9d44.c084    STATIC      Gi5/0/44 
  37    0040.9d44.c17e    STATIC      Gi4/0/10 
  37    0040.9d44.c268    STATIC      Gi4/0/12 
  37    0040.9d44.c306    STATIC      Gi5/0/46 
  37    0040.9d44.d916    STATIC      Gi5/0/41 
  37    0040.9d4f.de5e    STATIC      Gi5/0/40 
  37    0040.9d56.0c73    STATIC      Gi1/0/27 
  37    0040.9d6a.d9da    STATIC      Gi5/0/16 
  37    0060.167d.b324    DYNAMIC     Po16
  37    0060.167d.b384    DYNAMIC     Po16
  37    00a0.b82a.045e    STATIC      Gi4/0/33 
  37    00a0.b832.63d6    STATIC      Gi4/0/34 
  37    00a0.b868.6fe6    STATIC      Gi4/0/23 
  37    00a0.b868.c99b    STATIC      Gi4/0/24 
  37    00a0.b86e.5a26    STATIC      Gi4/0/43 
  37    00a0.b86e.5cb0    STATIC      Gi4/0/42 
  37    00e0.ec2c.230a    DYNAMIC     Po16
  37    0894.ef0d.93f9    DYNAMIC     Po16
  37    0894.ef0d.94bd    DYNAMIC     Po16
  37    0894.ef0d.9519    DYNAMIC     Po16
  37    0894.ef0d.9539    DYNAMIC     Po16
  37    0894.ef0d.9569    DYNAMIC     Po16
  37    0894.ef0d.96c5    DYNAMIC     Po16
  37    0894.ef0d.985d    DYNAMIC     Po16
  37    0894.ef0d.99fd    DYNAMIC     Po16
  37    0894.ef0d.9a4d    DYNAMIC     Po16
  37    0894.ef0d.9ca5    DYNAMIC     Po16
  37    0894.ef0d.9ca9    DYNAMIC     Po16
  37    0894.ef0d.9cc5    DYNAMIC     Po16
  37    0894.ef0d.9d55    DYNAMIC     Po16
  37    3440.b5df.3d18    STATIC      Gi5/0/23 
  37    5475.d0a3.6a93    STATIC      Gi3/0/29 
  37    6cae.8b2b.81e5    STATIC      Gi5/0/23 
  37    6cae.8b2b.8c6d    STATIC      Gi5/0/23 
  37    6cae.8b2b.b7e1    STATIC      Gi5/0/23 
  37    6cae.8b2b.b7e9    STATIC      Gi5/0/23 
  37    6cae.8b2e.5435    STATIC      Gi5/0/23 
  37    6cae.8b2e.5845    STATIC      Gi5/0/23 
  37    6cae.8b2e.5b99    STATIC      Gi5/0/23 
  37    6cae.8b2e.5d01    STATIC      Gi5/0/23 
  37    6cae.8b35.3ccd    STATIC      Gi5/0/23 
  37    6cae.8b35.3f2d    STATIC      Gi5/0/23 
  37    98be.9436.0609    STATIC      Gi5/0/23 
  37    98be.9436.0619    STATIC      Gi5/0/23 
  37    98be.9436.09fd    STATIC      Gi5/0/23 
  37    c84c.7578.06a6    DYNAMIC     Gi1/0/13
  37    e41f.1328.ffd1    STATIC      Gi4/0/19 
  37    e41f.1397.7696    STATIC      Gi5/0/24 
  37    e41f.1397.a51a    STATIC      Gi3/0/45 
  37    e41f.13ee.2ace    STATIC      Fa7/0/34 
  56    0004.23ac.d8b0    STATIC      Gi1/0/12 
  56    0008.02b0.a155    STATIC      Gi3/0/6 
  56    0008.e3ff.fd90    DYNAMIC     Po16
  56    7446.a0b1.1561    STATIC      Gi3/0/4 
  59    0050.56ba.260b    DYNAMIC     Po16
  62    0007.eb59.241c    STATIC      Gi1/0/24 
  62    0008.e3ff.fd90    DYNAMIC     Po16
  62    0050.56ba.0083    DYNAMIC     Po16
  62    0050.56ba.008b    DYNAMIC     Po16
  62    0050.56ba.00b5    DYNAMIC     Po16
  62    0050.56ba.385b    DYNAMIC     Po16
  62    0050.56ba.3aab    DYNAMIC     Po16
  62    5475.d0a3.6a95    STATIC      Gi3/0/3 
  62    c84c.7578.06a3    STATIC      Gi3/0/30 
  69    0008.e3ff.fd90    DYNAMIC     Po16
  69    0021.6b43.b0f4    DYNAMIC     Po16
  69    4485.0072.fd4e    DYNAMIC     Po16
  69    4485.0072.fe11    DYNAMIC     Po16
  69    5c51.4f76.23ca    DYNAMIC     Po16
  69    5c51.4f76.249c    DYNAMIC     Po16
  69    78e4.006a.8db9    DYNAMIC     Po16
  69    ccb1.1a16.6b0d    DYNAMIC     Po16
  69    ccb1.1a16.8668    DYNAMIC     Po16
  69    e8b1.fca3.d973    DYNAMIC     Po16
  71    0008.e3ff.fd90    DYNAMIC     Po16
  71    000e.0c4c.0982    STATIC      Gi2/0/38 
  71    382c.4ab3.d58b    DYNAMIC     Po16
  72    0008.e3ff.fd90    DYNAMIC     Po16
  72    0050.56ba.005d    DYNAMIC     Po16
  72    0050.56ba.0072    DYNAMIC     Po16
  72    0050.56ba.0082    DYNAMIC     Po16
  72    0050.56ba.0086    DYNAMIC     Po16
  72    0050.56ba.00b2    DYNAMIC     Po16
  75    0008.e3ff.fd90    DYNAMIC     Po16
  75    0013.2031.56ae    STATIC      Gi2/0/33 
  75    5cf3.fc79.a690    DYNAMIC     Po16
  76    0004.23df.d21b    STATIC      Gi2/0/23 
  76    0008.e3ff.fd90    DYNAMIC     Po16
  76    001b.786e.bb76    STATIC      Gi3/0/25 
  76    0025.0b00.bf0e    STATIC      Gi2/0/18 
  76    0030.05cb.08e4    DYNAMIC     Po16
  76    0050.56ba.0032    DYNAMIC     Po16
  76    0050.56ba.0056    DYNAMIC     Po16
  76    0050.56ba.00e3    DYNAMIC     Po16
  76    0050.56ba.017e    DYNAMIC     Po16
  76    0050.56ba.1709    DYNAMIC     Po16
  76    0050.56ba.1f00    DYNAMIC     Po16
  76    0050.56ba.234d    DYNAMIC     Po16
  76    0050.56ba.265e    DYNAMIC     Po16
  76    0050.56ba.3246    DYNAMIC     Po16
  76    0050.56ba.68dd    DYNAMIC     Po16
  76    0050.56ba.695d    DYNAMIC     Po16
  76    0050.56ba.6c9b    DYNAMIC     Po16
  76    0050.56ba.6f9a    DYNAMIC     Po16
  79    0002.ef20.8296    STATIC      Fa7/0/4 
  79    0002.ef20.8298    STATIC      Fa7/0/5 
  79    0006.8e00.9b05    STATIC      Fa7/0/20 
  79    0006.8e00.c2e9    STATIC      Fa7/0/19 
  79    0008.e3ff.fd90    DYNAMIC     Po16
  79    0012.93f0.2e67    STATIC      Gi4/0/3 
  79    0020.8200.4791    DYNAMIC     Po4
  79    0020.ef21.0a86    DYNAMIC     Po4
  79    004b.3000.08b9    STATIC      Fa7/0/27 
  79    004b.3000.1be6    STATIC      Fa7/0/1 
  79    004b.4000.0c8e    STATIC      Fa7/0/2 
  79    004b.4000.20bf    STATIC      Fa7/0/21 
  79    004b.4000.20cf    STATIC      Fa7/0/28 
  79    004b.4002.fa64    STATIC      Fa7/0/22 
  79    004b.4002.fbc8    STATIC      Fa7/0/25 
  79    00c0.b770.0891    STATIC      Gi2/0/19 
  79    00c0.b7cc.bb68    STATIC      Fa7/0/16 
  79    00c0.b7cc.bc7b    STATIC      Fa7/0/31 
  79    00d0.930a.cbd1    STATIC      Gi5/0/37 
  79    00d0.930a.cbd2    STATIC      Gi5/0/35 
  79    00d0.930a.cbde    STATIC      Gi5/0/33 
  80    001a.644e.95e6    DYNAMIC     Po16
  80    0050.56ba.0046    DYNAMIC     Po16
  80    0050.56ba.008a    DYNAMIC     Po16
  80    0050.56ba.3398    DYNAMIC     Po16
  80    0050.56ba.4b2e    DYNAMIC     Po16
  82    0050.56ba.75cc    DYNAMIC     Po16
  88    0008.e3ff.fd90    DYNAMIC     Po16
  88    000e.7ff1.b631    STATIC      Gi2/0/13 
  88    0014.5ebe.5cde    DYNAMIC     Po16
  88    001a.644e.96ee    DYNAMIC     Po16
  88    001a.644e.9faa    DYNAMIC     Po16
  88    0050.56ba.001a    DYNAMIC     Po16
  88    0050.56ba.002c    DYNAMIC     Po16
  88    0050.56ba.004c    DYNAMIC     Po16
  88    0050.56ba.0085    DYNAMIC     Po16
  88    0050.56ba.0087    DYNAMIC     Po16
  88    0050.56ba.00c1    DYNAMIC     Po16
  88    0050.56ba.017a    DYNAMIC     Po16
  88    0050.56ba.019a    DYNAMIC     Po16
  88    0050.56ba.01a7    DYNAMIC     Po16
  88    0050.56ba.03c7    DYNAMIC     Po16
  88    0050.56ba.0e2e    DYNAMIC     Po16
  88    0050.56ba.5e00    DYNAMIC     Po16
  88    0050.56ba.706f    DYNAMIC     Po16
  89    0008.e3ff.fd90    DYNAMIC     Po16
  89    000b.cdd1.62a2    STATIC      Gi1/0/25 
  89    0014.5e3f.a48e    DYNAMIC     Po16
  89    0050.56ba.0050    DYNAMIC     Po16
  89    0050.56ba.0051    DYNAMIC     Po16
  89    0050.56ba.0052    DYNAMIC     Po16
  89    0050.56ba.0053    DYNAMIC     Po16
  89    0050.56ba.01ae    DYNAMIC     Po16
  89    0050.56ba.01b2    DYNAMIC     Po16
  89    0050.56ba.156d    DYNAMIC     Po16
  89    0050.56ba.26ae    DYNAMIC     Po16
  89    0050.56ba.3cf4    DYNAMIC     Po16
  89    0050.56ba.4ad3    DYNAMIC     Po16
  89    0203.0a0c.12a7    DYNAMIC     Po16
  89    0204.0a0c.12a7    DYNAMIC     Po16
  96    0008.e3ff.fd90    DYNAMIC     Po16
  96    0050.56ba.4a2e    DYNAMIC     Po16
 108    0008.e3ff.fd90    DYNAMIC     Po16
 108    000c.2996.9591    DYNAMIC     Gi2/0/5
 108    000c.2996.9592    STATIC      Gi1/0/30 
 108    0014.c25f.544d    STATIC      Gi2/0/21 
 108    0050.56ba.00ad    DYNAMIC     Po16
 108    0050.56ba.2207    DYNAMIC     Po16
 108    0050.56ba.6af2    DYNAMIC     Po16
 108    0050.56ba.6af8    DYNAMIC     Po16
 111    0003.baa8.ea11    STATIC      Gi1/0/40 
 111    0003.bace.84e1    STATIC      Gi2/0/20 
 111    0003.bace.84e2    STATIC      Gi2/0/22 
 111    0008.e3ff.fd90    DYNAMIC     Po16
 111    0010.e03e.f9a4    DYNAMIC     Po16
 111    0010.e03e.f9a6    DYNAMIC     Po16
 111    0010.e03f.1f10    DYNAMIC     Po16
 111    0010.e03f.1f12    DYNAMIC     Po16
 111    0010.e071.1e1c    DYNAMIC     Po16
 111    0010.e071.1e1e    DYNAMIC     Po16
 111    0010.e099.c0d8    DYNAMIC     Po16
 111    0010.e099.c0da    DYNAMIC     Po16
 111    0014.4f80.c43c    STATIC      Gi3/0/17 
 111    0014.4fb7.a956    STATIC      Gi3/0/20 
 111    0014.4ff1.ec82    STATIC      Gi1/0/5 
 111    0014.4ff8.23f6    DYNAMIC     Po16
 111    0014.4ff8.5c0d    DYNAMIC     Po16
 111    0014.4ff8.6bb8    DYNAMIC     Po16
 111    0014.4ff8.8525    DYNAMIC     Po16
 111    0014.4ff8.9574    DYNAMIC     Po16
 111    0014.4ff8.c815    DYNAMIC     Po16
 111    0014.4ff8.ce34    DYNAMIC     Po16
 111    0014.4ff8.db2c    DYNAMIC     Po16
 111    0014.4ff8.dc13    DYNAMIC     Po16
 111    0014.4ff8.dddd    DYNAMIC     Po16
 111    0014.4ff8.f2f2    DYNAMIC     Po16
 111    0014.4ff8.f888    DYNAMIC     Po16
