
####################################################################
# RUSAL NETWORK #
####################################################################
Line 1 on zu-distrib-cat3750.kraz.rusal.com
####################################################################
Authorized Access Only!
Attention! You.re connecting to private computer system.
All access and actions are logged!
If you.re not an authorized person, please disconnect immediately!
####################################################################

This is a private system operated for and by UC "RUSAL".
Authorization from "IT-service" UC "RUSAL" management is reguired to use this system.
Use by unauthorized persons is strictly prohibited.

+7 3912 563094
+7 3912 563092
Vladislav.Zinoviev@rusal.com
Vladimir.Kosinov@rusal.com

zu-distrib-cat3750#
terminal length 0
zu-distrib-cat3750#
show mac address-table
          Mac Address Table
-------------------------------------------

Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
 All    0100.0ccc.cccc    STATIC      CPU
 All    0100.0ccc.cccd    STATIC      CPU
 All    0180.c200.0000    STATIC      CPU
 All    0180.c200.0001    STATIC      CPU
 All    0180.c200.0002    STATIC      CPU
 All    0180.c200.0003    STATIC      CPU
 All    0180.c200.0004    STATIC      CPU
 All    0180.c200.0005    STATIC      CPU
 All    0180.c200.0006    STATIC      CPU
 All    0180.c200.0007    STATIC      CPU
 All    0180.c200.0008    STATIC      CPU
 All    0180.c200.0009    STATIC      CPU
 All    0180.c200.000a    STATIC      CPU
 All    0180.c200.000b    STATIC      CPU
 All    0180.c200.000c    STATIC      CPU
 All    0180.c200.000d    STATIC      CPU
 All    0180.c200.000e    STATIC      CPU
 All    0180.c200.000f    STATIC      CPU
 All    0180.c200.0010    STATIC      CPU
 All    ffff.ffff.ffff    STATIC      CPU
   1    0017.086d.1939    DYNAMIC     Gi2/0/4
   1    58bf.ea2f.e79a    DYNAMIC     Gi2/0/11
   1    9c57.ad6b.420c    DYNAMIC     Gi2/0/10
   1    b4a4.e323.e434    DYNAMIC     Gi2/0/8
  16    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  25    0000.0c9f.f019    DYNAMIC     Gi1/0/1
  25    0003.ea08.96aa    DYNAMIC     Gi2/0/8
  25    0004.a3d8.17e0    DYNAMIC     Gi2/0/8
  25    0020.4ad3.f4e0    DYNAMIC     Gi2/0/8
  25    0020.4ae1.9b44    DYNAMIC     Gi2/0/8
  25    1cba.8cf8.845a    DYNAMIC     Gi2/0/8
  25    4437.e602.9613    DYNAMIC     Gi2/0/8
  25    448a.5b8f.0d8a    DYNAMIC     Gi2/0/8
  25    448a.5be8.8a4f    DYNAMIC     Gi2/0/8
  25    448a.5be8.8af0    DYNAMIC     Gi2/0/8
  25    60eb.6939.9226    DYNAMIC     Gi2/0/8
  25    6c62.6da6.dd5e    DYNAMIC     Gi2/0/8
  25    6c62.6da6.deb5    DYNAMIC     Gi2/0/8
  25    6c62.6daa.7d0c    DYNAMIC     Gi2/0/8
  25    b4a4.e323.e434    DYNAMIC     Gi2/0/8
  25    d0ff.50cc.c8b7    DYNAMIC     Gi2/0/8
  25    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  25    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  30    0000.0c9f.f01e    DYNAMIC     Gi1/0/1
  30    0000.aaa3.c4ef    DYNAMIC     Gi2/0/7
  30    0001.6ccc.829b    DYNAMIC     Gi2/0/7
  30    000f.fe62.26da    DYNAMIC     Gi2/0/7
  30    000f.fe62.3a1e    DYNAMIC     Gi2/0/7
  30    0019.99da.15b3    DYNAMIC     Gi2/0/7
  30    0019.99da.19ae    DYNAMIC     Gi2/0/7
  30    0019.99da.1b9f    DYNAMIC     Gi2/0/7
  30    0019.99da.1bab    DYNAMIC     Gi2/0/7
  30    001b.7828.5b13    DYNAMIC     Gi2/0/7
  30    001b.78bf.a7d6    DYNAMIC     Gi2/0/7
  30    0030.6ec3.88ac    DYNAMIC     Gi2/0/7
  30    10c3.7b4e.85f6    DYNAMIC     Gi2/0/7
  30    4061.86b5.9e82    DYNAMIC     Gi2/0/7
  30    4437.e603.c8d4    DYNAMIC     Gi2/0/7
  30    4437.e6e9.3420    DYNAMIC     Gi2/0/7
  30    4437.e6e9.a405    DYNAMIC     Gi2/0/7
  30    448a.5be5.e21b    DYNAMIC     Gi2/0/7
  30    448a.5be5.e392    DYNAMIC     Gi2/0/7
  30    448a.5be5.e78f    DYNAMIC     Gi2/0/7
  30    448a.5be5.e7ce    DYNAMIC     Gi2/0/7
  30    448a.5be5.e867    DYNAMIC     Gi2/0/7
  30    448a.5be5.eb44    DYNAMIC     Gi2/0/7
  30    448a.5be5.ecfa    DYNAMIC     Gi2/0/7
  30    448a.5be5.ee9d    DYNAMIC     Gi2/0/7
  30    448a.5be5.f1b9    DYNAMIC     Gi2/0/7
  30    448a.5be8.8fe4    DYNAMIC     Gi2/0/7
  30    448a.5be8.8ff1    DYNAMIC     Gi2/0/7
  30    448a.5be8.8ff3    DYNAMIC     Gi2/0/7
  30    448a.5be8.913b    DYNAMIC     Gi2/0/7
  30    448a.5be8.9338    DYNAMIC     Gi2/0/7
  30    448a.5be8.9365    DYNAMIC     Gi2/0/7
  30    6c62.6da6.dd52    DYNAMIC     Gi2/0/7
  30    6c62.6daa.7d6e    DYNAMIC     Gi2/0/7
  30    705a.0f0f.30e1    DYNAMIC     Gi2/0/7
  30    902b.340f.7252    DYNAMIC     Gi2/0/7
  30    94de.8009.1e7d    DYNAMIC     Gi2/0/7
  30    b4a4.e383.ddb4    DYNAMIC     Gi2/0/7
  30    bc5f.f441.8ae9    DYNAMIC     Gi2/0/7
  30    bc5f.f441.f463    DYNAMIC     Gi2/0/7
  30    c85b.7612.a054    DYNAMIC     Gi2/0/7
  30    f076.1c0f.5269    DYNAMIC     Gi2/0/7
  30    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  30    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  30    fc3f.dbc2.7e27    DYNAMIC     Gi2/0/7
  31    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  32    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  35    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  41    0000.0c9f.f029    DYNAMIC     Gi1/0/1
  41    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  41    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  42    0015.faf4.1281    DYNAMIC     Gi2/0/3
  42    0015.faf4.12cd    DYNAMIC     Gi2/0/3
  42    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  42    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  42    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  43    0000.0c9f.f02b    DYNAMIC     Gi1/0/1
  43    448a.5be5.e7b2    DYNAMIC     Gi2/0/4
  43    448a.5be8.8dac    DYNAMIC     Gi2/0/4
  43    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  43    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  43    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  44    0000.0c9f.f02c    DYNAMIC     Gi2/0/12
  44    5087.8990.8b66    DYNAMIC     Gi2/0/12
  44    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  44    f866.f2f1.e8d4    DYNAMIC     Gi2/0/12
  44    f8c2.8834.dede    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8c86    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8c87    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8c95    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8c99    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8cc8    DYNAMIC     Gi2/0/12
  44    f8c2.8838.8ce6    DYNAMIC     Gi2/0/12
  45    0000.0c9f.f02d    DYNAMIC     Gi1/0/1
  45    00c0.b7c2.5cdb    DYNAMIC     Gi2/0/1
  45    b4a4.e3a7.1534    DYNAMIC     Gi2/0/1
  45    b4a4.e3a7.1541    DYNAMIC     Gi2/0/1
  45    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  45    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  46    0000.0c9f.f02e    DYNAMIC     Gi1/0/1
  46    0020.8200.4790    DYNAMIC     Gi2/0/7
  46    b4a4.e317.5dc1    DYNAMIC     Gi2/0/7
  46    b4a4.e383.ddb4    DYNAMIC     Gi2/0/7
  46    b4a4.e383.ddc1    DYNAMIC     Gi2/0/7
  46    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  46    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  47    0000.0c9f.f02f    DYNAMIC     Gi1/0/1
  47    b4a4.e323.e434    DYNAMIC     Gi2/0/8
  47    b4a4.e323.e441    DYNAMIC     Gi2/0/8
  47    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  47    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  48    0000.0c9f.f030    DYNAMIC     Gi1/0/1
  48    000a.5757.b101    DYNAMIC     Gi2/0/6
  48    0014.a95d.2181    DYNAMIC     Gi2/0/6
  48    0014.a95d.21c1    DYNAMIC     Gi2/0/6
  48    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  48    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  51    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  54    0000.0c9f.f036    DYNAMIC     Gi1/0/1
  54    0011.854e.6741    DYNAMIC     Gi2/0/9
  54    0020.8200.4103    DYNAMIC     Gi2/0/9
  54    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  54    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  54    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  55    0000.0c9f.f037    DYNAMIC     Gi1/0/1
  55    4437.e601.f1b3    DYNAMIC     Gi2/0/9
  55    4437.e6e9.176f    DYNAMIC     Gi2/0/9
  55    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  55    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  55    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  60    0000.0c9f.f03c    DYNAMIC     Gi1/0/1
  60    000f.feab.0549    DYNAMIC     Gi2/0/6
  60    000f.feb1.554c    DYNAMIC     Gi2/0/6
  60    0014.a536.af92    DYNAMIC     Gi2/0/6
  60    0014.a95d.2181    DYNAMIC     Gi2/0/6
  60    0016.17a1.f141    DYNAMIC     Gi2/0/6
  60    0016.17a1.f191    DYNAMIC     Gi2/0/6
  60    0017.0883.2054    DYNAMIC     Gi2/0/6
  60    0019.99bb.5bd6    DYNAMIC     Gi2/0/6
  60    0019.99bb.5f57    DYNAMIC     Gi2/0/6
  60    0019.99bb.61e4    DYNAMIC     Gi2/0/6
  60    0019.99bb.62b4    DYNAMIC     Gi2/0/6
  60    0019.dbc0.5485    DYNAMIC     Gi2/0/6
  60    0019.dbc0.5542    DYNAMIC     Gi2/0/6
  60    001a.4b30.ff28    DYNAMIC     Gi2/0/6
  60    001b.780b.b719    DYNAMIC     Gi2/0/6
  60    0021.913d.ef19    DYNAMIC     Gi2/0/6
  60    1cc1.de81.2a39    DYNAMIC     Gi2/0/6
  60    4437.e602.afea    DYNAMIC     Gi2/0/6
  60    4437.e602.b064    DYNAMIC     Gi2/0/6
  60    4437.e604.010e    DYNAMIC     Gi2/0/6
  60    4437.e653.271e    DYNAMIC     Gi2/0/6
  60    448a.5be4.5f73    DYNAMIC     Gi2/0/6
  60    448a.5be4.61ce    DYNAMIC     Gi2/0/6
  60    448a.5be5.e1df    DYNAMIC     Gi2/0/6
  60    448a.5be5.e1e2    DYNAMIC     Gi2/0/6
  60    448a.5be5.e1e9    DYNAMIC     Gi2/0/6
  60    448a.5be5.e311    DYNAMIC     Gi2/0/6
  60    448a.5be5.e38e    DYNAMIC     Gi2/0/6
  60    448a.5be5.e3f6    DYNAMIC     Gi2/0/6
  60    448a.5be5.e48b    DYNAMIC     Gi2/0/6
  60    448a.5be5.e6b2    DYNAMIC     Gi2/0/6
  60    448a.5be5.e772    DYNAMIC     Gi2/0/6
  60    448a.5be5.e780    DYNAMIC     Gi2/0/6
  60    448a.5be5.e7bd    DYNAMIC     Gi2/0/6
  60    448a.5be5.e7c4    DYNAMIC     Gi2/0/6
  60    448a.5be5.e7d2    DYNAMIC     Gi2/0/6
  60    448a.5be5.e7d6    DYNAMIC     Gi2/0/6
  60    448a.5be5.e863    DYNAMIC     Gi2/0/6
  60    448a.5be5.e881    DYNAMIC     Gi2/0/6
  60    448a.5be5.e894    DYNAMIC     Gi2/0/6
  60    448a.5be5.e934    DYNAMIC     Gi2/0/6
  60    448a.5be5.e936    DYNAMIC     Gi2/0/6
  60    448a.5be5.eb61    DYNAMIC     Gi2/0/6
  60    448a.5be5.eb62    DYNAMIC     Gi2/0/6
  60    448a.5be5.eba2    DYNAMIC     Gi2/0/6
  60    448a.5be5.ebe3    DYNAMIC     Gi2/0/6
  60    448a.5be5.ed29    DYNAMIC     Gi2/0/6
  60    448a.5be5.ee91    DYNAMIC     Gi2/0/6
  60    448a.5be8.7e19    DYNAMIC     Gi2/0/6
  60    448a.5be8.7eb7    DYNAMIC     Gi2/0/6
  60    448a.5be8.7ed2    DYNAMIC     Gi2/0/6
  60    448a.5be8.7ee0    DYNAMIC     Gi2/0/6
  60    448a.5be8.7ee3    DYNAMIC     Gi2/0/6
  60    448a.5be8.7eee    DYNAMIC     Gi2/0/6
  60    448a.5be8.7f1c    DYNAMIC     Gi2/0/6
  60    448a.5be8.7f48    DYNAMIC     Gi2/0/6
  60    448a.5be8.7fb1    DYNAMIC     Gi2/0/6
  60    448a.5be8.7fb9    DYNAMIC     Gi2/0/6
  60    448a.5be8.7fbb    DYNAMIC     Gi2/0/6
  60    448a.5be8.7fca    DYNAMIC     Gi2/0/6
  60    448a.5be8.8910    DYNAMIC     Gi2/0/6
  60    448a.5be8.89bc    DYNAMIC     Gi2/0/6
  60    448a.5be8.89d7    DYNAMIC     Gi2/0/6
  60    448a.5be8.8add    DYNAMIC     Gi2/0/6
  60    448a.5be8.8b0e    DYNAMIC     Gi2/0/6
  60    448a.5be8.8b70    DYNAMIC     Gi2/0/6
  60    448a.5be8.8d91    DYNAMIC     Gi2/0/6
  60    448a.5be8.8d9f    DYNAMIC     Gi2/0/6
  60    448a.5be8.8e12    DYNAMIC     Gi2/0/6
  60    448a.5be8.8e18    DYNAMIC     Gi2/0/6
  60    448a.5be8.8e1d    DYNAMIC     Gi2/0/6
  60    448a.5be8.8e21    DYNAMIC     Gi2/0/6
  60    448a.5be8.8e22    DYNAMIC     Gi2/0/6
  60    448a.5be8.8f69    DYNAMIC     Gi2/0/6
  60    448a.5be8.8fbf    DYNAMIC     Gi2/0/6
  60    448a.5be8.9022    DYNAMIC     Gi2/0/6
  60    94de.80d4.8e1e    DYNAMIC     Gi2/0/6
  60    d485.643e.4d24    DYNAMIC     Gi2/0/6
  60    d485.643e.cb8a    DYNAMIC     Gi2/0/6
  60    f4ce.4637.c389    DYNAMIC     Gi2/0/6
  60    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  60    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  84    0000.0c9f.f054    DYNAMIC     Gi1/0/1
  84    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  84    f866.f268.d6ff    DYNAMIC     Gi1/0/1
  84    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  86    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  87    0000.0c9f.f057    DYNAMIC     Gi1/0/1
  87    5067.ae37.fa42    DYNAMIC     Gi1/0/1
  87    c84c.75c6.6644    DYNAMIC     Gi1/0/1
  87    f866.f268.f8bf    DYNAMIC     Gi1/0/1
  98    0000.0c9f.f062    DYNAMIC     Gi1/0/1
  98    0011.9525.7a16    DYNAMIC     Gi1/0/1
  98    f866.f268.f8bf    DYNAMIC     Gi2/0/12
  98    f866.f2f1.e8d4    DYNAMIC     Gi2/0/12
 134    0000.0c9f.f086    DYNAMIC     Gi1/0/1
 134    0019.99bb.5ca0    DYNAMIC     Gi1/0/1
 134    0019.99da.1b94    DYNAMIC     Gi1/0/1
 134    0022.15c7.db2e    DYNAMIC     Gi1/0/1
 134    f866.f268.f8bf    DYNAMIC     Gi2/0/12
 134    f866.f2f1.e8d4    DYNAMIC     Gi2/0/12
 169    0000.0c9f.f0a9    DYNAMIC     Gi1/0/1
